id,type,text1,text2,text3,text4,text5,notes
els_miniflakker,WEAPON,"A compact ballistic cannon firing proximity-fused fragmentation rounds. Favored by The Directory for cheap and reliable point defense, the Miniflakker saturates the local space with jagged shrapnel, effectively neutralizing incoming ordnance and light fighter craft.",Point Defense,,,,
els_coilac,WEAPON,"The standard Directory medium linear induction autocannon. It fires three-round bursts of dense kinetic slugs using an electromagnetic coil array. Though its power demands are modest compared to advanced railguns, its reliable shield-breaking capability makes it a staple of standard fleet engagements.",Close Support,,,,
els_coilac_heavy,WEAPON,"An upscaled variant of the standard coilgun, the heavy coilgun features significantly enlarged accelerator coils. This increases muzzle velocity and effective range dramatically, providing capital ships and cruisers with a punishing kinetic barrage capable of fracturing shields at a distance.",Close Support,,,,
els_magflak,WEAPON,"This medium electromagnetic flak projector hurls large, magnetically charged fragmentation shells. Upon proximity detonation, the shells release a dense cloud of energized shrapnel. It serves as a robust defense grid component for larger Directory vessels.",Point Defense,,,,
els_magflaktwin,WEAPON,"A dual-mounted magnetic flak system that effectively doubles the defensive screen of its host vessel. By utilizing synchronized firing patterns, it creates overlapping fields of fragmentation clouds, forming an impassable barrier for hostile strike craft and missiles.",Point Defense,,,,
els_stinger,WEAPON,"A rapid-fire kinetic machine gun infamous for its distinct tracer fire. While the lightweight rounds struggle to penetrate heavy armor, their sheer volume quickly overwhelms energy shielding and reliably strips exposed weapon mounts.",Close Support,,,,
els_twinstinger,WEAPON,"A twin-linked configuration of the Stinger machine gun. Improved ammunition feeds and a heavier mounting platform allow for extended sustained fire, rendering it an exceptional shield-suppression tool in close-quarters brawls.",Close Support,,,,
els_epee,WEAPON,"A high-performance magnetic railgun designed for long-range engagement. The Épée accelerates ferrous slugs to hypervelocity speeds via intense induction heating. While it excels at piercing shields and cracking armor, it requires significant cool-down periods between firing cycles.",Fire Support,,,,
els_glaive,WEAPON,"This large twin railgun mount integrates two Épée mass drivers into a stabilized housing. Advanced recoil dampening and superior fire control systems offer a modest range extension, providing capital ships with a devastating long-range shield-breaking asset.",Fire Support,,,,
els_greavecannon,WEAPON,"A heavy ballistic cannon of traditional but highly refined design. The Greave Cannon sacrifices the elegance of electromagnetic acceleration for sheer explosive force, delivering massive payloads that can cripple enemy armor plating with a single direct hit.",Assault,,,,
els_autogun,WEAPON,"A versatile small-caliber ballistic weapon. Firing high-density rounds at a steady cadence, the Autogun provides dependable fire support for frigates and fighters, balancing kinetic output with reasonable resource demands.",Close Support,,,,
els_positronblaster,WEAPON,"A medium energy projector that utilizes magnetic containment fields to stream reactive positrons at the target. Upon contact, the resulting antimatter annihilation releases tremendous thermal energy, making it an excellent tool for melting through heavy armor.",Assault,,,,
els_positronblaster_hvy,WEAPON,"A scaled-up positron weapon designed for heavy hardpoints. It projects a significantly denser stream of antimatter particles, capable of breaching capital-grade armor systems and overwhelming heavy shielding through sheer energy transfer.",Assault,,,,
els_positronmauler,WEAPON,"The pinnacle of The Directory's positron weaponry. The Positron Mauler discharges condensed packets of antimatter with explosive force, causing catastrophic structural failure on impact. Its immense power requirements relegate it to dedicated strike roles.",Strike,,,,
els_excimer,WEAPON,"A medium burst laser driven by an integrated gigawatt-range capacitor bank. It discharges a concentrated pulse of coherent light, excelling in rapid-attack doctrines. However, the weapon requires a brief recovery phase to recharge its capacitors after a sustained burst.",Assault,,,,
els_pdlaser,WEAPON,A miniaturized continuous-beam laser tuned specifically for tracking and destroying incoming missiles. Its reliable targeting algorithms and near-instantaneous beam travel time make it a ubiquitous point defense asset.,Point Defense,,,,
els_tacmaser,WEAPON,"A compact microwave amplification weapon. The Tactical Maser emits a focused, high-energy RF beam that excels at disrupting electronics and searing through light armor, offering exceptional utility for frontline skirmishers.",Close Support,,,,
els_zdmaser,WEAPON,"The Zone Defense Maser is a low-energy microwave emitter calibrated to intercept ordnance. While it lacks the raw thermal output to threaten major warships, its RF discharge wreaks havoc on the guidance systems of inbound missiles.",Point Defense,,,,
els_zdmaser_sm,WEAPON,"A downsized variant of the Zone Defense Maser, optimized for deployment on automated drones and light fighters. It provides essential missile interception capabilities without drawing excessive power from diminutive drone reactors.",Point Defense,,,,
els_hmaser,WEAPON,"A heavy hydrogen maser boasting tremendous thermal output. Though highly demanding on the host vessel's reactor, its withering radio-frequency beam easily boils away advanced armor composites and overloads enemy avionics.",Close Support,,,,
els_hvydefmaser,WEAPON,A massive defensive maser installation reserved for capital ships and stations. It projects a wide-band RF interference field that neutralizes sprawling missile barrages and deters enemy bomber wings with blistering thermal radiation.,Point Defense,,,,
els_laser_array,WEAPON,"A large array of synchronized laser emitters. By converging multiple beams onto a single focal point, this weapon achieves remarkable armor-penetration capability over extended distances, serving as a primary capital ship battery.",Assault,,,,
els_phased_array,WEAPON,"An advanced energy weapon utilizing a phased emitter grid. This allows the beam to adjust its frequency and focal length on the fly, offering unparalleled precision and consistent damage projection across varying engagement ranges.",Assault,,,,
els_alouette_rack,WEAPON,"A medium external rack mounting intermediate-range heatseeking missiles. The Alouette prioritizes acceleration over sustained flight, striking with a high-voltage electromagnetic warhead designed to arc across shields and paralyze enemy subsystems.",Strike,,,,
els_alouette_pod,WEAPON,"A compact pod configuration for the Alouette missile system. This internalized mount provides a larger reserve magazine, allowing for sustained deployment of these high-acceleration EMP munitions in protracted engagements.",Strike,,,,
els_hatf_rack,WEAPON,"A medium external rack for the Hatf Standoff-Range Attack Munition. Lacking guidance, these rockets are packed with high-energy solid propellant, granting them extreme acceleration and a high-yield explosive payload to crush heavy armor.",Strike,,,,
els_hatf_pod,WEAPON,"A small internal pod launcher for Hatf unguided rockets. It offers a deeper magazine than simple external racks, ensuring a steady supply of high-acceleration explosive munitions for dedicated strike craft.",Strike,,,,
els_raad_rack,WEAPON,"A medium mounting for the Ra'ad rocket. Based on the Hatf spaceframe, the Ra'ad is equipped with a devastating electromagnetic warhead. Its EMP payload arcs across shields to cripple vital electrical subsystems.",Strike,,,,
els_raad_pod,WEAPON,"A small pod launcher firing Ra'ad EMP rockets in a clustered formation. Additional internal storage allows multiple reloads, providing sustained anti-subsystem pressure during intense firefights.",Strike,,,,
els_countermissile_3cell,WEAPON,A three-cell counter-missile launcher. It fires rapid-response interceptors designed to acquire and eliminate incoming heavy ordnance before they reach the fleet's defensive perimeter.,Point Defense,,,,
